product_code;customer_code;market_code;order_date;sales_qty;sales_amount;currency
Prod001;C001;Mark001;2017-10-10;100;41241;EUR
Prod001;C002;Mark002;2018-05-08;3;-1;EUR
Prod002;C003;Mark003;2018-04-06;1;875;EUR
Prod002;C003;Mark003;2018-04-11;1;583;EUR
Prod002;C004;Mark003;2018-06-18;6;7176;EUR
Prod003;C005;Mark004;2017-11-20;59;500;USD
Prod003;C005;Mark004;2017-11-22;36;250;USD
Prod003;C005;Mark004;2017-11-23;39;21412;EUR
Prod003;C005;Mark004;2017-11-27;35;19213;EUR
Prod003;C005;Mark004;2017-11-28;310;170185;EUR
Prod003;C005;Mark004;2017-11-29;184;101194;EUR
Prod003;C005;Mark004;2017-11-30;35;19213;EUR
Prod004;C005;Mark004;2017-11-29;17;9426;EUR
Prod004;C005;Mark004;2017-12-19;1;218;EUR
Prod005;C005;Mark004;2018-08-07;5;3093;EUR
Prod003;C006;Mark004;2017-12-04;58;30306;EUR
Prod005;C006;Mark004;2018-06-29;38;52319;EUR
Prod005;C006;Mark004;2018-07-02;93;126296;EUR
Prod005;C006;Mark004;2018-07-03;79;107500;EUR
Prod005;C006;Mark004;2018-07-04;1;273;EUR
Prod005;C006;Mark004;2018-07-06;3;3574;EUR
Prod005;C006;Mark004;2018-07-13;1;273;EUR
Prod005;C006;Mark004;2019-06-07;20;23403;EUR
Prod005;C006;Mark004;2019-07-29;81;76329;EUR
Prod005;C006;Mark004;2019-08-01;5;4542;EUR
Prod005;C006;Mark004;2019-09-19;18;16579;EUR
Prod005;C006;Mark004;2019-09-27;90;105301;EUR
Prod004;C007;Mark004;2017-10-09;1;185;EUR
Prod004;C007;Mark004;2017-10-13;1;556;EUR
Prod004;C007;Mark004;2017-10-27;1;551;EUR
Prod004;C007;Mark004;2017-11-03;1;167;EUR
Prod004;C007;Mark004;2017-11-06;1;333;EUR
Prod004;C007;Mark004;2017-11-10;1;500;EUR
Prod004;C007;Mark004;2017-11-16;1;333;EUR
Prod004;C007;Mark004;2017-11-17;1;333;EUR
Prod004;C007;Mark004;2017-11-27;1;500;EUR
Prod004;C007;Mark004;2017-12-04;1;833;EUR
Prod004;C007;Mark004;2017-12-08;1;167;EUR
Prod004;C007;Mark004;2017-12-11;1;833;EUR
Prod004;C007;Mark004;2017-12-18;1;1000;EUR
Prod004;C007;Mark004;2017-12-27;2;1833;EUR
Prod004;C007;Mark004;2017-12-28;1;167;EUR
Prod004;C007;Mark004;2018-01-05;1;167;EUR
Prod004;C007;Mark004;2018-01-08;1;833;EUR
Prod004;C007;Mark004;2018-01-22;1;167;EUR
Prod004;C007;Mark004;2018-02-21;26;10657;EUR
Prod004;C007;Mark004;2018-02-23;1;167;EUR
Prod005;C007;Mark004;2018-08-03;1;157;EUR
Prod005;C007;Mark004;2018-08-24;1;315;EUR
Prod005;C007;Mark004;2018-09-21;1;630;EUR
Prod005;C007;Mark004;2018-09-28;1;315;EUR
Prod005;C007;Mark004;2018-11-09;1;157;EUR
Prod005;C007;Mark004;2018-11-16;1;472;EUR
Prod005;C007;Mark004;2018-12-07;1;157;EUR
Prod005;C007;Mark004;2018-12-14;1;157;EUR
Prod005;C007;Mark004;2019-01-25;1;315;EUR
Prod005;C007;Mark004;2019-02-01;1;157;EUR
Prod005;C007;Mark004;2019-02-08;1;472;EUR
Prod005;C007;Mark004;2019-02-15;1;472;EUR
Prod005;C007;Mark004;2019-02-22;1;315;EUR
Prod005;C007;Mark004;2019-03-01;1;472;EUR
Prod005;C007;Mark004;2019-03-08;1;315;EUR
Prod005;C007;Mark004;2019-03-15;1;157;EUR
Prod005;C007;Mark004;2019-03-22;1;315;EUR
Prod005;C007;Mark004;2019-03-29;1;315;EUR
Prod005;C007;Mark004;2019-04-05;1;315;EUR
Prod005;C007;Mark004;2019-04-12;1;787;EUR
Prod005;C007;Mark004;2019-04-23;1;630;EUR
Prod005;C007;Mark004;2019-04-29;1;472;EUR
Prod005;C007;Mark004;2019-05-06;1;315;EUR
Prod005;C007;Mark004;2019-05-10;1;787;EUR
Prod005;C007;Mark004;2019-05-17;1;1102;EUR
Prod005;C007;Mark004;2019-06-03;1;787;EUR
Prod005;C007;Mark004;2019-06-07;1;157;EUR
Prod005;C007;Mark004;2019-06-17;1;315;EUR
Prod005;C007;Mark004;2019-06-24;1;315;EUR
Prod005;C007;Mark004;2019-06-28;1;315;EUR
Prod005;C007;Mark004;2019-07-05;1;472;EUR
Prod005;C007;Mark004;2019-07-12;1;630;EUR
Prod005;C007;Mark004;2019-07-19;1;944;EUR
Prod005;C007;Mark004;2019-07-26;2;1417;EUR
Prod005;C007;Mark004;2019-08-02;2;1417;EUR
Prod005;C007;Mark004;2019-08-09;1;787;EUR
Prod005;C007;Mark004;2019-08-16;1;1259;EUR
Prod005;C007;Mark004;2019-09-02;2;1574;EUR
Prod005;C007;Mark004;2019-09-03;1;630;EUR
Prod005;C007;Mark004;2019-09-06;1;157;EUR
Prod005;C007;Mark004;2019-09-13;2;1417;EUR
Prod005;C007;Mark004;2019-09-20;1;630;EUR
Prod005;C007;Mark004;2019-09-23;200;66111;EUR
Prod005;C007;Mark004;2019-09-27;2;1884;EUR
Prod005;C007;Mark004;2019-10-07;1;944;EUR
Prod005;C007;Mark004;2019-10-28;7;2574;EUR
Prod005;C007;Mark004;2019-11-08;1;630;EUR
Prod005;C007;Mark004;2019-11-15;1;472;EUR
Prod005;C007;Mark004;2019-11-22;1;944;EUR
Prod005;C007;Mark004;2019-11-29;2;1417;EUR
Prod005;C007;Mark004;2019-12-06;1;1259;EUR
Prod005;C007;Mark004;2019-12-13;4;3773;EUR
Prod005;C007;Mark004;2019-12-20;1;315;EUR
Prod005;C007;Mark004;2020-01-09;1;630;EUR
Prod005;C007;Mark004;2020-01-10;1;472;EUR
Prod005;C007;Mark004;2020-01-17;2;2042;EUR
Prod005;C007;Mark004;2020-02-07;1;417;EUR
Prod005;C007;Mark004;2020-02-14;1;310;EUR
Prod005;C007;Mark004;2020-02-28;1;208;EUR
Prod005;C007;Mark004;2020-03-06;1;620;EUR
Prod005;C007;Mark004;2020-03-13;1;620;EUR
Prod005;C007;Mark004;2020-04-03;1;829;EUR
Prod005;C007;Mark004;2020-04-14;4;2694;EUR
Prod005;C007;Mark004;2020-04-20;1;102;EUR
Prod005;C007;Mark004;2020-05-15;2;528;EUR
Prod006;C005;Mark004;2017-10-24;1;380;EUR
Prod006;C007;Mark004;2017-10-25;1;560;EUR
Prod006;C007;Mark004;2017-10-30;1;560;EUR
Prod006;C007;Mark004;2017-11-27;1;1116;EUR
Prod006;C008;Mark005;2017-12-11;1;657;EUR
Prod006;C007;Mark004;2017-12-12;1;560;EUR
Prod006;C008;Mark005;2017-12-19;1;657;EUR
Prod006;C007;Mark004;2018-02-12;1;560;EUR
Prod007;C007;Mark004;2018-10-19;11;6218;EUR
Prod008;C007;Mark004;2017-11-20;7;2426;EUR
Prod008;C007;Mark004;2017-11-24;33;15278;EUR
Prod009;C009;Mark002;2018-11-14;3;3032;EUR
Prod009;C010;Mark003;2019-05-22;2;3194;EUR
Prod009;C010;Mark003;2019-05-23;1;912;EUR
Prod009;C010;Mark003;2019-05-28;1;1824;EUR
Prod009;C010;Mark003;2019-05-29;1;458;EUR
Prod009;C003;Mark003;2019-05-31;3;4444;EUR
Prod009;C010;Mark003;2019-06-03;1;458;EUR
Prod009;C010;Mark003;2019-06-04;1;458;EUR
Prod009;C010;Mark003;2019-06-05;1;1824;EUR
Prod009;C003;Mark003;2019-06-05;2;2667;EUR
Prod009;C010;Mark003;2019-06-06;14;19171;EUR
Prod009;C010;Mark003;2019-06-07;1;458;EUR
Prod009;C010;Mark003;2019-06-11;1;458;EUR
Prod009;C010;Mark003;2019-06-12;1;458;EUR
Prod009;C010;Mark003;2019-06-14;1;1370;EUR
Prod009;C003;Mark003;2019-06-14;2;2667;EUR
Prod009;C003;Mark003;2019-06-17;1;1333;EUR
Prod009;C011;Mark003;2019-06-18;1;597;EUR
Prod009;C003;Mark003;2019-06-18;7;8889;EUR
Prod009;C003;Mark003;2019-06-19;1;1778;EUR
Prod009;C010;Mark003;2019-06-28;7;9130;EUR
Prod010;C011;Mark003;2018-04-23;1;602;EUR
Prod010;C012;Mark003;2018-05-03;2;3227;EUR
Prod010;C003;Mark003;2018-05-04;1;449;EUR
Prod010;C003;Mark003;2018-05-07;1;449;EUR
Prod010;C003;Mark003;2018-05-09;1;449;EUR
Prod010;C003;Mark003;2018-05-11;1;449;EUR
Prod010;C013;Mark003;2018-05-11;7;9880;EUR
Prod010;C011;Mark003;2018-05-16;1;301;EUR
Prod010;C014;Mark003;2018-05-16;6;7954;EUR
Prod010;C012;Mark003;2018-05-17;1;2153;EUR
Prod010;C014;Mark003;2018-05-17;4;5306;EUR
Prod010;C003;Mark003;2018-05-18;1;1801;EUR
Prod010;C003;Mark003;2018-05-23;2;2699;EUR
Prod010;C012;Mark003;2018-05-24;1;1616;EUR
Prod010;C003;Mark003;2018-05-25;2;2245;EUR
Prod010;C015;Mark006;2018-05-26;1;0;EUR
Prod010;C003;Mark003;2018-05-28;1;903;EUR
Prod010;C014;Mark003;2018-05-29;4;5306;EUR
Prod010;C010;Mark003;2018-05-30;3;3778;EUR
Prod010;C012;Mark003;2018-05-31;1;537;EUR
